file_name,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,cluster
31800_双叠翠（河南省大调曲子）,-409.5608520507813,91.71636962890624,-42.2249870300293,-8.792536735534668,-23.47492408752441,-13.741483688354492,-18.45846366882324,-13.709842681884766,-14.60733127593994,-16.69426727294922,-7.6796135902404785,3.938617706298828,-5.4461517333984375,1
27822_茉莉花（吉林省二人转）,-273.8506164550781,59.68155288696289,-114.4291763305664,40.217735290527344,-15.226027488708496,15.550958633422852,-15.418658256530762,-3.3341846466064453,-7.468612194061279,9.697839736938477,5.544222831726074,-8.820967674255371,-5.31832218170166,1
31981_采茶儿（山东省聊斋俚曲）,-201.72999572753903,120.84494018554688,-74.8780288696289,-0.9641824960708618,-37.51722717285156,-13.618651390075684,-33.91599655151367,-11.963630676269531,-14.790846824645996,-21.42902183532715,-16.74183464050293,-6.536341667175293,-6.659230709075928,0
139042_茉莉花,-271.0702209472656,141.37420654296875,-59.90935897827149,18.89637565612793,-13.00189208984375,2.279486894607544,-10.295886993408203,-3.996299743652344,-4.966639995574951,-2.256874084472656,-6.308109760284424,-0.8337692618370056,1.8570177555084229,1
139461_茉莉花,-175.6582489013672,145.536376953125,-26.984777450561523,22.52103805541992,-16.3349552154541,6.150074481964111,-7.201027870178223,10.462470054626465,1.2704646587371826,1.1873788833618164,-4.411557674407959,5.20481538772583,2.0179548263549805,1
141762_茉莉花,-522.6469116210938,126.36602783203124,-71.36963653564453,6.068955898284912,15.300726890563965,11.727048873901367,3.310279607772827,16.666213989257812,5.432875633239746,-8.36452579498291,5.219010829925537,12.949090003967283,4.128686904907227,1
27832_茉莉花（山西省山西八大套）,-235.5836334228516,97.6354751586914,-127.1263198852539,-14.477680206298828,-38.90464019775391,-17.55105972290039,-21.150291442871094,-7.309349060058594,-8.972579002380371,3.225478172302246,-3.359090566635132,4.936841011047363,5.510974884033203,0
27836_茉莉花（山西省河津丧葬锣鼓）,-133.3846435546875,58.72083282470703,-93.48712921142578,18.50927352905273,-37.89674377441406,23.22780418395996,-32.52442169189453,-1.460687279701233,-21.3103084564209,-5.126092433929443,-14.91529369354248,-6.533963680267334,-6.832236289978027,1
31902_茉莉花（江苏省南京市六合区民歌）,-190.33233642578125,180.2349548339844,-69.4376449584961,-5.149447441101074,-8.941073417663574,-8.836586952209473,-14.001947402954102,-11.680219650268556,-10.49367904663086,-18.88724708557129,-3.39542007446289,2.789237260818481,-7.88572359085083,0
27824_茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》工尺谱念谱1）,-326.0999755859375,160.8695526123047,35.19404983520508,23.098365783691406,10.80544376373291,-1.312283635139465,-9.477885246276855,-9.632259368896484,-3.25894546508789,-10.850183486938477,-10.75220012664795,0.7126240730285645,2.741523265838623,1
27825_茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲2）,-314.3853759765625,105.32359313964844,-59.71333312988281,12.29295253753662,-9.974297523498535,8.223783493041992,-15.53062629699707,3.135704278945923,3.736209154129028,8.765536308288574,-6.963886260986328,4.252465724945068,-0.1771757006645202,1
27829_茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》工尺谱念谱2）,-353.0931701660156,168.91891479492188,34.72959899902344,27.136186599731445,11.914331436157228,1.8146809339523315,-6.200199604034424,-7.355986595153809,-1.4719191789627075,-10.518799781799316,-9.787257194519045,0.2067315429449081,0.7839136719703674,1
27831_茉莉花（河北省雄安新区容城县南张镇北张村《茉莉花》演奏曲1）,-226.8611602783203,131.00979614257812,-68.30472564697266,13.295714378356934,-12.157998085021973,9.844599723815918,-7.8502302169799805,4.415560245513916,2.938462018966675,3.805320024490357,-0.688156008720398,9.746649742126465,4.123610973358154,1
29433_茉莉花（河北省昌黎县民歌）2,-248.63461303710935,107.8847885131836,-44.01582717895508,-18.27210807800293,-36.82957077026367,18.67338180541992,-55.97374725341797,3.451601982116699,0.91037118434906,-11.792243003845217,-10.651544570922852,-0.4191964268684387,10.793889999389648,1
31974_茉莉花（河北省昌黎县民歌）,-364.7016296386719,136.46102905273438,-39.49208450317383,-2.6097583770751958,25.27516365051269,-9.27021598815918,-20.717018127441406,0.5494034290313721,-2.727353572845459,-11.905508995056152,-4.262162685394287,-6.034094333648682,-4.565242767333984,1
27821_四股绳（河南曲剧）,-197.16033935546875,89.61698150634766,-108.95706176757812,-4.388267517089844,-38.05533218383789,-15.474698066711426,-46.26090621948242,-19.42572593688965,-22.92979431152344,-12.080680847167969,-1.617173433303833,-16.536239624023438,-17.838180541992188,0
27820_茉莉花（辽宁省铁岭市二人转）,-221.0518798828125,119.13658142089844,-59.52483367919922,5.38270378112793,-27.95626449584961,6.952869415283203,-3.849653005599976,-0.2109466195106506,-3.321779489517212,-11.349802017211914,-4.660994052886963,7.217561721801758,-9.758976936340332,1
27823_鲜花调（江苏省南京市六合区民歌）,-197.9675750732422,160.67530822753906,-60.68468475341797,24.316547393798828,-8.191193580627441,7.291458606719971,9.93325138092041,3.7120769023895264,-5.148478984832764,-10.75890827178955,5.994613170623779,6.532207012176514,11.854988098144531,1
27827_老鲜花调（江苏省扬州清曲）,-210.84120178222656,155.58766174316406,-77.94404602050781,16.81111717224121,-20.103281021118164,-32.16107940673828,5.02276611328125,-21.50135040283203,-16.53875160217285,-13.15035343170166,-13.947171211242676,4.177445411682129,-2.909875869750977,0
